Frequency,Polarisation,Theta,Phi,Re(Etheta),Im(Etheta),Re(Ephi),Im(Ephi),RCS(Theta),RCS(Phi),RCS(Total)
11000000000.0,0.0,51.233603,0.0,-0.00747211516,0.0622413023,0.000185758267,0.00070285979,0.0493834768,6.6415533e-06,0.0493901183
11000000000.0,0.0,51.3090231,0.0,0.024226943,0.0525926398,0.000464716167,0.000310290038,0.0421341677,3.92373643e-06,0.0421380914
11000000000.0,0.0,51.3832703,0.0,0.0418674664,0.0233286857,0.000488082338,-8.03720474e-05,0.0288663647,3.07479026e-06,0.0288694395
11000000000.0,0.0,51.4563196,0.0,0.037202891,-0.011405912,0.00027328408,-0.000316100061,0.0190273691,2.1941315e-06,0.0190295633
11000000000.0,0.0,51.5281469,0.0,0.0123307104,-0.0364212591,3.89360966e-05,-0.000462597502,0.0185800643,2.70820955e-06,0.0185827725
11000000000.0,0.0,51.5987283,0.0,-0.0214109234,-0.0416916696,-0.000278426547,-0.000517364838,0.0276035782,4.33775679e-06,0.027607916
11000000000.0,0.0,51.6680405,0.0,-0.0500907456,-0.0266031374,-0.000446479201,-0.000149859806,0.040423623,2.78724159e-06,0.0404264103
11000000000.0,0.0,51.7360605,0.0,-0.0624203113,0.00135909147,-0.000430771105,0.000142185862,0.0489855019,2.58591484e-06,0.0489880879
11000000000.0,0.0,51.8027661,0.0,-0.0548028506,0.0298801027,-0.000333690943,0.000465148407,0.0489607535,4.11815907e-06,0.0489648716
11000000000.0,0.0,51.8681352,0.0,-0.0313630573,0.0474535469,4.71242648e-05,0.000488248813,0.0406582468,3.02356427e-06,0.0406612704
11000000000.0,0.0,51.9321465,0.0,-0.00145474313,0.0479317369,0.000379837594,0.000442825417,0.0288972197,4.27722748e-06,0.0289014969
11000000000.0,0.0,51.9947789,0.0,0.024122493,0.0314613136,0.000545657977,0.000144876029,0.0197506768,4.00530056e-06,0.0197546821
11000000000.0,0.0,52.0560122,0.0,0.037016949,0.00392587029,0.000493635603,-0.000137586032,0.0174128047,3.30000463e-06,0.0174161047
11000000000.0,0.0,52.1158261,0.0,0.0340629848,-0.0255556904,0.000309045552,-0.000310192321,0.0227876083,2.4093305e-06,0.0227900176
11000000000.0,0.0,52.1742015,0.0,0.0172756583,-0.0482327241,0.000117821465,-0.000442377094,0.0329847631,2.6336523e-06,0.0329873967
11000000000.0,0.0,52.2311192,0.0,-0.00738079872,-0.0582514421,-0.000127291213,-0.000497734134,0.0433251601,3.31679703e-06,0.0433284769
11000000000.0,0.0,52.2865608,0.0,-0.0322044951,-0.0540186895,-0.000419633598,-0.000443599182,0.0497018596,4.68565517e-06,0.0497065453
11000000000.0,0.0,52.3405085,0.0,-0.0504078995,-0.0380657636,-0.000616256834,-0.000188041156,0.0501392997,5.21670209e-06,0.0501445164
11000000000.0,0.0,52.3929448,0.0,-0.057583785,-0.0153743662,-0.000481710916,0.00013341917,0.0446390588,3.13965846e-06,0.0446421985
11000000000.0,0.0,52.4438527,0.0,-0.0526770759,0.00784933803,-0.000352699601,0.00034789089,0.0356443397,3.08410251e-06,0.0356474238
11000000000.0,0.0,52.493216,0.0,-0.0375308777,0.0261984195,-0.000156534394,0.000477738957,0.026325591,3.17599344e-06,0.026328767
11000000000.0,0.0,52.5410186,0.0,-0.0160685336,0.0360017137,7.92954587e-05,0.00048084651,0.0195321758,2.9845273e-06,0.0195351603
11000000000.0,0.0,52.5872454,0.0,0.00715174036,0.0361365628,0.000292951246,0.000405394226,0.0170525468,3.14366499e-06,0.0170556905
11000000000.0,0.0,52.6318815,0.0,0.0278402776,0.0272931635,0.000431188971,0.000263866605,0.0191008561,3.21132991e-06,0.0191040674
11000000000.0,0.0,52.6749126,0.0,0.0427393327,0.0119200343,0.000556585613,7.1067353e-05,0.0247398885,3.95637242e-06,0.0247438449
11000000000.0,0.0,52.716325,0.0,0.0503373994,-0.00697184201,0.00048558952,-0.000117186848,0.032452154,3.1356857e-06,0.0324552897
11000000000.0,0.0,52.7561054,0.0,0.0502501842,-0.025988509,0.000409060409,-0.000275741893,0.0402184632,3.05820235e-06,0.0402215214
11000000000.0,0.0,52.7942412,0.0,0.0435599704,-0.0424909403,0.000268097853,-0.000396968387,0.046532655,2.88348391e-06,0.0465355385
11000000000.0,0.0,52.8307202,0.0,0.0319346971,-0.0546310273,0.000151254758,-0.000468913598,0.0503204481,3.05058655e-06,0.0503234987
11000000000.0,0.0,52.8655309,0.0,0.0175472695,-0.0614939023,-8.3434317e-06,-0.000403643265,0.051389,2.04828697e-06,0.0513910483
11000000000.0,0.0,52.8986621,0.0,0.00247264454,-0.0629110159,-0.000140297402,-0.000378640406,0.0498119608,2.04897083e-06,0.0498140098
11000000000.0,0.0,52.9301034,0.0,-0.011562945,-0.0595674382,-0.000250458698,-0.000368845432,0.0462691427,2.49789932e-06,0.0462716406
11000000000.0,0.0,52.9598448,0.0,-0.0235086581,-0.0522952504,-0.000351892114,-0.000275017642,0.0413113179,2.506523e-06,0.0413138245
11000000000.0,0.0,52.9878769,0.0,-0.032590845,-0.0423958866,-0.000396131943,-0.000167210724,0.0359344715,2.32326988e-06,0.0359367947
11000000000.0,0.0,53.0141908,0.0,-0.0384754472,-0.0310939349,-0.000464763486,-5.15188171e-05,0.030752332,2.74775363e-06,0.0307550797
11000000000.0,0.0,53.0387782,0.0,-0.0413742618,-0.0192938908,-0.000447875885,4.79078594e-05,0.026189369,2.54956545e-06,0.0261919185
11000000000.0,0.0,53.0616314,0.0,-0.0415171812,-0.00786567645,-0.000448905188,0.000174394632,0.0224378228,2.91451023e-06,0.0224407373
11000000000.0,0.0,53.0827431,0.0,-0.0395669424,0.00264828045,-0.000406282829,0.000264635627,0.0197613256,2.95432548e-06,0.0197642799
11000000000.0,0.0,53.1021066,0.0,-0.035942997,0.0118346786,-0.000319944132,0.000319389175,0.0179945231,2.56823556e-06,0.0179970913
11000000000.0,0.0,53.119716,0.0,-0.0313403646,0.0195241008,-0.000263502409,0.000363009863,0.0171331023,2.52847541e-06,0.0171356308
11000000000.0,0.0,53.1355656,0.0,-0.026181822,0.0257620227,-0.00022878905,0.000447752099,0.0169541655,3.17710989e-06,0.0169573426
11000000000.0,0.0,53.1496504,0.0,-0.0209005823,0.030722372,-0.000160054577,0.000477145262,0.0173503688,3.18287404e-06,0.0173535517
11000000000.0,0.0,53.1619661,0.0,-0.0157693084,0.0344130579,-0.000111195254,0.000515964988,0.0180067249,3.50079297e-06,0.0180102257
11000000000.0,0.0,53.1725088,0.0,-0.0110837612,0.0371345363,-5.72696193e-05,0.000522882732,0.0188724713,3.47694084e-06,0.0188759482
11000000000.0,0.0,53.1812751,0.0,-0.00699603414,0.0389770666,-2.27657313e-05,0.000512684691,0.0197060321,3.309528e-06,0.0197093417
11000000000.0,0.0,53.1882623,0.0,-0.0036969424,0.0402374987,2.65345862e-05,0.000509482807,0.0205174109,3.27073491e-06,0.0205206817
11000000000.0,0.0,53.1934683,0.0,-0.00116059216,0.0410436501,5.17538179e-05,0.000502392535,0.0211859985,3.20538856e-06,0.0211892039
11000000000.0,0.0,53.1968914,0.0,0.00049611466,0.0415154786,6.40135143e-05,0.000504843874,0.0216616721,3.25425101e-06,0.0216649264
11000000000.0,0.0,53.1985305,0.0,0.00130393955,0.0417164183,7.25596979e-05,0.000504428776,0.0218901126,3.26365357e-06,0.0218933762
11000000000.0,0.0,53.1983852,0.0,0.00123222894,0.0416992598,7.18010027e-05,0.000504510225,0.0218698411,3.2633099e-06,0.0218731044
